211,226,3,3,"[251, 241, 257]"
246,110,3,2,"[251, 277, 271]"
66,90,3,2,"[257, 277, 293]"
82,50,3,2,"[257, 271, 269]"
99,126,3,2,"[257, 269, 271]"
131,81,3,3,"[257, 239, 251]"
179,141,4,3,"[257, 271, 277, 283]"
211,226,3,3,"[257, 251, 241]"
216,32,3,2,"[257, 281, 277]"
227,40,3,2,"[257, 277, 263]"
1,220,3,2,"[263, 293, 313]"
55,171,3,1,"[263, 283, 277]"
90,253,3,2,"[263, 283, 271]"
117,142,3,2,"[263, 251, 239]"
122,224,3,3,"[263, 241, 271]"
124,26,3,3,"[263, 269, 277]"
127,87,3,1,"[263, 283, 313]"
193,244,3,2,"[263, 281, 257]"
194,242,3,2,"[263, 283, 281]"
212,188,3,1,"[263, 269, 271]"
239,81,3,2,"[263, 257, 241]"
248,9,3,3,"[263, 277, 271]"
5,208,3,2,"[269, 271, 263]"
16,168,3,1,"[269, 271, 257]"
26,34,3,2,"[269, 263, 257]"
58,166,3,2,"[269, 281, 307]"
93,143,3,2,"[269, 281, 307]"
124,26,3,3,"[269, 277, 263]"
247,70,3,2,"[269, 277, 293]"
25,129,3,2,"[271, 257, 251]"
82,178,3,2,"[271, 257, 251]"
83,39,3,3,"[271, 277, 293]"
122,224,3,3,"[271, 263, 241]"
127,87,4,1,"[271, 263, 283, 313]"
179,141,3,3,"[271, 277, 283]"
223,210,3,2,"[271, 283, 277]"
248,9,3,3,"[271, 263, 277]"
26,59,3,2,"[277, 257, 251]"
36,235,3,1,"[277, 283, 271]"
82,50,3,2,"[277, 271, 269]"
83,39,3,3,"[277, 293, 271]"
124,26,3,3,"[277, 263, 269]"
137,126,3,1,"[277, 251, 239]"
145,50,3,2,"[277, 251, 257]"
179,141,3,3,"[277, 283, 271]"
188,191,3,2,"[277, 269, 257]"
201,10,3,1,"[277, 307, 317]"
222,161,3,2,"[277, 293, 317]"
230,91,3,2,"[277, 269, 239]"
237,164,3,2,"[277, 271, 269]"
243,140,3,2,"[277, 263, 281]"
248,9,3,3,"[277, 271, 263]"
