11,213,239,251
24,62,239,241
42,141,239,251
60,4,239,251
81,235,239,263
84,212,239,251
97,172,239,241
113,100,239,257
117,142,239,251
149,227,239,251
152,30,239,241
170,120,239,257
179,226,239,251
183,50,239,251
186,72,239,251
192,218,239,241
205,224,239,251
212,197,239,241
226,110,239,241
230,91,239,269
12,179,241,263
26,237,241,263
29,171,241,263
38,86,241,251
44,206,241,269
50,149,241,263
51,185,241,269
72,57,241,263
77,166,241,257
87,124,241,257
126,149,241,263
131,178,241,251
136,133,241,263
142,78,241,251
191,239,241,263
221,237,241,257
222,148,241,269
239,81,241,257
9,25,251,269
16,5,251,271
25,129,251,257
26,59,251,257
47,227,251,277
63,95,251,257
63,99,251,269
74,177,251,269
82,178,251,257
98,90,251,257
118,44,251,257
122,144,251,257
135,9,251,257
145,50,251,257
188,54,251,257
210,159,251,257
236,128,251,257
243,43,251,257
243,99,251,257
17,178,257,263
24,86,257,263
26,34,257,263
37,9,257,271
56,22,257,283
63,187,257,271
67,147,257,263
68,242,257,271
73,219,257,277
78,57,257,271
93,9,257,271
94,154,257,263
126,81,257,271
138,94,257,277
146,107,257,263
148,72,257,271
176,179,257,281
188,191,257,269
193,244,257,281
195,200,257,277
198,165,257,277
201,47,257,263
204,42,257,271
253,18,257,263
254,178,257,271
5,208,263,271
30,216,263,281
33,62,263,269
43,48,263,283
45,12,263,283
47,258,263,271
100,140,263,277
105,214,263,293
107,66,263,269
108,134,263,281
113,124,263,269
125,245,263,283
195,220,263,269
227,40,263,277
243,140,263,281
260,42,263,277
3,116,269,277
25,155,269,283
39,103,269,271
54,82,269,283
64,25,269,271
65,70,269,281
67,131,269,281
70,23,269,271
82,50,269,271
84,5,269,281
88,186,269,277
92,16,269,271
95,106,269,283
99,126,269,271
128,132,269,271
139,171,269,271
160,229,269,277
172,68,269,271
181,256,269,271
199,245,269,281
205,79,269,281
213,105,269,271
216,57,269,281
217,7,269,293
237,164,269,271
246,249,269,281
28,264,271,277
34,251,271,283
41,71,271,283
41,164,271,283
53,127,271,283
57,201,271,277
64,71,271,283
67,157,271,277
81,94,271,277
81,134,271,283
90,253,271,283
112,66,271,283
112,193,271,283
112,225,271,283
119,251,271,283
124,51,271,283
138,143,271,283
147,4,271,283
162,202,271,281
